City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Kiama,AU,-34.6833,150.8667,65.44,81,100,1.99,overcast clouds
201,Rocha,UY,-34.4833,-54.3333,80.73,42,1,7.94,clear sky
202,Cap Malheureux,MU,-19.9842,57.6142,80.47,84,100,18.99,moderate rain
203,Zhenhai,CN,24.2582,118.0905,53.08,86,100,16.62,overcast clouds
204,Forest Lake,US,45.2789,-92.9852,1.36,78,98,1.01,overcast clouds
205,Xuddur,SO,4.1213,43.8894,91.63,22,42,17.58,scattered clouds
206,Esna,EG,25.2934,32.554,72.1,24,0,5.82,clear sky
207,Ust-Kuyga,RU,70.0167,135.6,-16.49,97,100,6.44,overcast clouds
208,San Jeronimo,PE,-11.9472,-75.2829,51.91,79,99,2.55,overcast clouds
209,Kayerkan,RU,69.3497,87.7602,-1.34,96,94,5.3,overcast clouds
210,Quchan,IR,37.106,58.5095,31.33,66,1,1.36,clear sky
211,Nurota,UZ,40.5614,65.6886,44.69,60,0,3.58,clear sky
212,Ixtapa,MX,20.7,-105.2,60.22,88,0,4.61,clear sky
213,Saint Anthony,US,45.0205,-93.218,1.26,73,0,5.99,clear sky
214,Kemin,KG,42.7846,75.6892,34.63,72,100,2.3,overcast clouds
215,Rawson,AR,-43.3002,-65.1023,74.41,31,98,12.73,overcast clouds
216,Felipe Carrillo Puerto,MX,19.5833,-88.05,74.52,82,100,2.8,overcast clouds
217,Amapa,BR,1.0,-52.0,77.02,92,89,3.22,overcast clouds
218,Cockburn Town,TC,21.4612,-71.1419,73.36,73,40,13.8,scattered clouds
219,Mondlo,ZA,-27.983,30.7177,90.64,31,0,3.71,clear sky
220,Mar Del Plata,AR,-38.0023,-57.5575,80.62,89,0,1.99,moderate rain
221,Edendale,ZA,-29.6528,30.3147,83.62,46,5,7.94,clear sky
222,Nikolskoye,RU,59.7035,30.7861,22.89,98,97,1.95,overcast clouds
223,Sorong,ID,-0.8833,131.25,79.95,80,78,3.65,broken clouds
224,San Lazaro,BZ,18.0387,-88.6622,80.31,89,100,4.74,overcast clouds
225,Vanimo,PG,-2.6741,141.3028,77.85,84,100,1.81,overcast clouds
226,Hilton Head Island,US,32.2163,-80.7526,55.51,86,0,9.22,clear sky
227,Yellandu,IN,17.6,80.3333,75.4,33,35,0.6,scattered clouds
228,Miyako,JP,39.6367,141.9525,30.7,59,20,4.92,few clouds
229,Greenville,US,35.6127,-77.3663,38.89,100,100,3.44,fog
230,Ahipara,NZ,-35.1667,173.1667,67.84,88,100,10.98,overcast clouds
231,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,73,18,10.78,few clouds
232,Kirando,TZ,-7.4167,30.6,77.18,74,100,7.61,light rain
233,Dir,PK,35.2058,71.8756,41.38,70,100,0.72,overcast clouds
234,Grudziadz,PL,53.4841,18.7537,39.04,82,78,12.48,broken clouds
235,Fare,PF,-16.7,-151.0167,80.64,74,37,17.2,scattered clouds
236,Olafsvik,IS,64.8945,-23.7142,33.55,50,87,12.84,light snow
237,Sistranda,NO,63.7256,8.834,30.16,65,97,22.68,overcast clouds
238,Monterey,US,36.2505,-121.2516,47.1,32,0,6.85,clear sky
239,Katherine,AU,-14.4667,132.2667,79.12,89,100,6.91,overcast clouds
240,Havelock,US,34.8791,-76.9013,42.78,84,30,4.47,scattered clouds
241,Yamada,JP,39.4667,141.95,30.27,63,43,4.16,scattered clouds
242,Meulaboh,ID,4.1363,96.1285,79.84,74,100,1.36,overcast clouds
243,New Norfolk,AU,-42.7826,147.0587,56.71,60,98,3.06,overcast clouds
244,Sibu,MY,2.3,111.8167,74.97,97,100,1.9,overcast clouds
245,Henties Bay,NA,-22.116,14.2845,72.72,69,18,11.21,few clouds
246,Muros,ES,42.7762,-9.0603,68.68,50,5,1.7,clear sky
247,Berdigestyakh,RU,62.0989,126.6992,-14.28,97,100,5.53,light snow
248,Bethel,US,41.3712,-73.414,37.47,82,100,0.0,overcast clouds
249,Salalah,OM,17.0151,54.0924,80.69,39,0,5.75,clear sky
250,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.34,72,75,8.05,light intensity drizzle
251,Carnarvon,AU,-24.8667,113.6333,80.67,74,75,14.97,light rain
252,Beroroha,MG,-21.6667,45.1667,98.51,19,27,5.73,scattered clouds
253,Vilhena,BR,-12.7406,-60.1458,76.73,79,56,2.66,broken clouds
254,Igrim,RU,63.1906,64.4162,13.78,97,100,3.15,overcast clouds
255,Toguchin,RU,55.2353,84.3858,4.48,100,89,3.6,overcast clouds
256,Veraval,IN,20.9,70.3667,73.53,74,43,14.23,scattered clouds
257,Ponta Delgada,PT,37.7333,-25.6667,64.51,67,40,10.36,scattered clouds
258,Shelburne,CA,44.0787,-80.2041,34.56,95,100,3.83,overcast clouds
259,Altay,CN,47.8667,88.1167,5.38,76,10,7.18,clear sky
260,Vanavara,RU,60.34,102.2797,-11.4,100,76,2.53,broken clouds
261,Mehamn,NO,71.0357,27.8492,17.55,86,20,11.5,few clouds
262,Kichera,RU,55.9375,110.0997,-11.72,88,43,4.54,scattered clouds
263,Yangjiang,CN,21.85,111.9667,54.95,87,100,7.87,moderate rain
264,Port Hardy,CA,50.6996,-127.4199,41.76,93,100,10.36,light rain
265,Lieksa,FI,63.3167,30.0167,9.14,97,81,4.38,broken clouds
266,Ruthin,GB,53.1137,-3.3178,54.41,89,97,4.0,overcast clouds
267,Kununurra,AU,-15.7667,128.7333,80.58,89,100,4.61,heavy intensity rain
268,San Patricio,US,28.017,-97.5169,68.09,97,89,6.11,overcast clouds
269,Iwanai,JP,42.9744,140.5089,25.18,91,100,10.76,light snow
270,Itupiranga,BR,-5.1347,-49.3267,84.52,77,45,2.8,scattered clouds
271,Rincon,US,32.296,-81.2354,55.36,85,75,8.05,broken clouds
272,Yerbogachen,RU,61.2767,108.0108,-9.85,100,95,2.33,overcast clouds
273,Saint George,US,37.1041,-113.5841,32.59,35,0,3.0,clear sky
274,Vavozh,RU,56.7751,51.931,20.86,93,100,9.6,overcast clouds
275,Palmer,US,42.1584,-72.3287,36.03,77,100,1.99,overcast clouds
276,Ohara,JP,35.25,140.3833,44.55,45,15,5.84,few clouds
277,Mamallapuram,IN,12.6264,80.1722,80.06,61,6,7.52,clear sky
278,Owando,CG,-0.4819,15.8999,95.7,28,94,3.13,overcast clouds
279,Half Moon Bay,US,37.4636,-122.4286,55.74,35,0,3.0,clear sky
280,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.15,52,75,13.8,light rain
281,Carambei,BR,-24.9178,-50.0972,72.95,67,73,4.29,broken clouds
282,Safaga,EG,26.7292,33.9365,68.23,49,3,8.23,clear sky
283,High Level,CA,58.5169,-117.136,-28.73,100,100,4.99,overcast clouds
284,Inskoy,RU,54.4297,86.44,4.96,98,99,2.42,overcast clouds
285,Ponerihouen,NC,-21.0833,165.4,77.27,81,100,3.51,overcast clouds
286,Baruun-Urt,MN,46.6806,113.2792,-9.87,92,14,4.61,few clouds
287,Richards Bay,ZA,-28.783,32.0377,89.65,57,6,17.54,clear sky
288,Margate,GB,51.3813,1.3862,55.31,74,85,5.01,overcast clouds
289,Kalevala,RU,65.2,31.1667,11.21,95,99,6.11,overcast clouds
290,Marabba,SD,12.35,32.1833,90.61,13,63,6.93,broken clouds
291,Ukiah,US,39.1502,-123.2078,50.13,85,0,0.0,clear sky
292,Pangoa,PE,-12.1167,-73.0,69.42,81,100,1.99,overcast clouds
293,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,68,31,9.33,scattered clouds
294,Yelatma,RU,54.9675,41.7508,18.75,94,93,6.98,overcast clouds
295,Jackson,US,42.4165,-122.8345,36.64,82,100,0.0,overcast clouds
296,Galle,LK,6.0367,80.217,78.03,75,20,2.73,few clouds
297,Shahrud,IR,36.4182,54.9763,40.57,54,0,6.15,clear sky
298,Vrede,ZA,-27.4257,29.1659,88.68,18,0,5.59,clear sky
299,Rabo De Peixe,PT,37.8,-25.5833,63.28,95,40,10.36,scattered clouds
300,Kahului,US,20.8947,-156.47,67.68,83,0,0.0,clear sky
301,Qasigiannguit,GL,68.8193,-51.1922,3.45,84,72,7.83,broken clouds
302,Homer,US,59.6425,-151.5483,26.49,86,100,4.61,overcast clouds
303,Lata,PT,40.1629,-8.3327,71.08,42,3,4.97,clear sky
304,Iracoubo,GF,5.4802,-53.2011,79.3,84,30,11.52,scattered clouds
305,Kudahuvadhoo,MV,2.6708,72.8944,82.47,74,4,10.89,clear sky
306,Vuktyl,RU,63.8567,57.3094,16.95,95,100,7.67,light snow
307,Ende,ID,-8.8432,121.6623,79.23,88,81,3.58,broken clouds
308,Torrelavega,ES,43.3494,-4.0479,62.06,55,7,1.99,clear sky
309,Vostok,RU,46.4856,135.8833,-4.76,99,100,3.11,overcast clouds
310,Acari,PE,-15.4311,-74.6158,76.87,67,17,5.95,few clouds
311,Nouadhibou,MR,20.931,-17.0347,71.4,54,4,12.33,clear sky
312,Pelaya,CO,8.6882,-73.6645,84.81,53,11,1.72,few clouds
313,Kuching,MY,1.55,110.3333,80.82,89,20,3.44,few clouds
314,Santa Rosa,PH,14.3122,121.1114,80.1,73,100,12.15,overcast clouds
315,Te Anau,NZ,-45.4167,167.7167,62.28,97,100,3.38,heavy intensity rain
316,Lookan,PH,5.037,120.1027,80.82,76,100,4.92,overcast clouds
317,Ust-Karsk,RU,52.7011,118.8077,-20.29,100,23,1.81,few clouds
318,Lumby,CA,50.2498,-118.969,0.79,95,100,3.13,overcast clouds
319,Viziru,RO,45.0167,27.7,41.79,52,100,9.4,overcast clouds
320,Palmerston,AU,-12.486,130.9833,82.38,88,100,12.66,overcast clouds
321,Pierre,US,44.3683,-100.351,5.05,71,0,11.01,clear sky
322,Berea,US,41.3662,-81.8543,42.78,62,100,11.5,overcast clouds
323,Zonguldak,TR,41.25,31.8333,38.25,91,100,4.94,light rain
324,Codrington,AU,-38.2667,141.9667,59.9,67,100,12.95,overcast clouds
325,Mount Gambier,AU,-37.8333,140.7667,57.29,78,75,7.27,broken clouds
326,Luderitz,NA,-26.6481,15.1594,70.68,73,21,11.34,few clouds
327,Rundu,NA,-17.9333,19.7667,83.66,43,27,8.59,scattered clouds
328,Najran,SA,17.4924,44.1277,74.37,27,59,13.15,broken clouds
329,Srikakulam,IN,18.3,83.9,73.8,76,7,8.43,clear sky
330,Jalu,LY,29.0331,21.5482,61.11,33,96,18.1,overcast clouds
331,Floro,NO,61.5996,5.0328,37.36,70,75,17.27,light rain
332,Nobres,BR,-14.7203,-56.3275,81.03,74,76,5.21,broken clouds
333,Walvis Bay,NA,-22.9575,14.5053,73.56,67,25,12.77,scattered clouds
334,Quatre Cocos,MU,-20.2078,57.7625,80.1,89,100,39.3,moderate rain
335,Kalmunai,LK,7.4167,81.8167,76.46,73,0,9.22,clear sky
336,Pontianak,ID,-0.0333,109.3333,78.78,88,20,2.3,few clouds
337,Mersing,MY,2.4312,103.8405,78.57,83,71,5.86,broken clouds
338,Kyra,RU,49.5776,111.9753,-8.07,91,14,6.08,few clouds
339,Dwarka,IN,22.2394,68.9678,73.92,74,2,12.1,clear sky
340,Lakatoro,VU,-16.0999,167.4164,80.28,81,100,3.2,overcast clouds
341,Zhangye,CN,38.9342,100.4517,25.09,34,79,1.23,broken clouds
342,Aljezur,PT,37.3191,-8.8033,64.45,51,6,3.56,clear sky
343,Road Town,VG,18.4167,-64.6167,80.01,76,1,14.41,clear sky
