City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,San Pedro,PH,76.23,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
290,Port-Gentil,GA,85.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
293,Xuddur,SO,84.24,scattered clouds,4.1213,43.8894,Banjanay Hotel
294,Axim,GH,84.15,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
301,Ilhabela,BR,85.89,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
302,Carutapera,BR,75.16,light rain,-1.195,-46.02,Lidera
304,Santa Marta,CO,87.35,few clouds,11.2408,-74.199,Casa de Isabella
305,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
318,Oudtshoorn,ZA,77.36,clear sky,-33.5907,22.2014,Earthbound Guest House
321,Jaciara,BR,85.44,clear sky,-15.9653,-54.9683,Taba Hotel
323,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
328,Santiago Del Estero,AR,65.75,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
332,Kruisfontein,ZA,71.38,few clouds,-34.0033,24.7314,Oyster Bay House Rental
335,Ozuluama,MX,67.41,scattered clouds,21.6667,-97.85,Hotel Posada De La Roma
337,Manali,IN,78.08,scattered clouds,13.1667,80.2667,Sarathy Lodge
338,Takoradi,GH,83.86,scattered clouds,4.8845,-1.7554,Raybow International Hotel
339,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
342,Mahina,PF,74.75,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
346,Daru,PG,77.27,overcast clouds,-9.0763,143.2092,Daru Lodge
347,Danielskuil,ZA,81.81,broken clouds,-28.1887,23.5395,Botha'Sig Gastehuis
348,Veraval,IN,72.97,clear sky,20.9,70.3667,Lords Inn Somnath
350,Guiratinga,BR,87.96,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
353,Langsa,ID,72.48,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
354,Port Blair,IN,78.89,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
355,Tautira,PF,75.0,moderate rain,-17.7333,-149.15,Pension Oaoa
